state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
California,216626,246918,278153,324632,395361,482147,530145,508980,415481,337507,335316,317589,315867,375547,424489,447678,478903,510753,550061,560911,591814,696640,777809
Texas,115231,116721,119408,122955,130483,135981,140663,146052,145666,142294,141572,137098,137794,145456,156670,168806,180537,192409,203775,213554,221964,255929,291158
New York,143570,154637,168287,185530,204684,226874,245279,249495,246368,234374,231279,225093,221005,224787,231063,235221,241451,251840,264956,276034,286800,325887,353955
Florida,123733,133815,146848,163104,186334,230209,277603,269004,223771,178997,163170,148148,147349,164223,183228,196057,212131,228760,245354,257361,270254,317678,375201
Illinois,152172,163992,176211,189139,203849,220948,235567,237986,221698,197799,184876,169198,159035,164565,174497,179569,186075,195390,203063,207293,211830,236100,256205
Pennsylvania,108809,114540,121537,131270,143656,159722,174028,179935,178792,172682,171861,164616,160994,162706,165619,168166,172358,179015,188901,197100,206673,236591,256114
Ohio,112810,117834,121671,125956,130514,134580,137026,135652,131170,124656,121546,115630,112645,114426,117010,121355,126703,134334,143155,151650,161396,185053,201837
Michigan,123327,131551,137357,141969,147338,151528,152199,145013,130085,110244,102182,95814,96644,107096,119367,126235,134301,145302,157504,167537,177510,204236,223030
Georgia,135886,145674,152540,157138,161865,167972,174903,178942,172030,154286,143561,130004,126076,135851,148935,157729,166976,177447,192687,205497,216952,254366,296207
North Carolina,137796,143222,146289,149077,152982,159248,168862,177248,178503,171267,165446,157869,153746,156244,161179,166111,173186,183596,195706,207315,219674,259611,297707
New Jersey,197699,218354,245840,283900,322980,369986,406251,401212,376212,344474,332449,311334,294873,299155,310878,313061,315620,324216,338315,346235,360170,417415,453943
Virginia,141382,153025,167265,184961,214167,258874,289983,289528,269695,248644,243920,235769,234546,242977,250304,253516,258206,267494,277191,287933,300293,336648,363896
Washington,181964,191196,199449,209225,227979,262470,306454,326438,310549,277700,262394,238937,230880,251947,270866,291270,321114,356078,392813,410641,445197,533081,607938
Massachusetts,225427,259455,295173,335229,369128,400077,399619,380709,357609,334196,335923,323137,315171,333633,350817,362391,378505,399488,422935,432985,454736,528755,576968
